Product Name,Brand,Laptop Type,Price,Discount,MRP,Rating,Review Count,Processor,RAM,Storage,Storage Type,Graphics,Display Size,GPU,Availability,Touchscreen,Operating System,Laptop Use
ASUS TUF Gaming A15 (2026) AMD Ryzen 7 170 - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,ASUS,Gaming,70990,16.47,84990,4.4,221,AMD Ryzen 7,16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Gaming
ASUS ExpertBook Ultra Copilot+ PC Intel Core Ultra X7 358H - (32 GB/1 TB SSD/Windows 11 Home) B9406CAA...,ASUS,Standard Notebook,272990,39.33,449990,4.9,8,Intel Core Ultra X7,32,1024,SSD,Integrated,14,Not Specified,In Stock,Yes,Windows 11 Home,Business
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 100e Chromebo...,Lenovo,Standard Notebook,14989,28.59,20990,4,317,MediaTek Kompanio 520,4,32,eMMC,Integrated,11.6,Not Specified,In Stock,No,Chrome OS,Student / Everyday
Primebook Wifi (2026 Model) MediaTek MT8183 - (4 GB/64 GB EMMC Storage/Prime OS) PB Wifi Thin and Ligh...,Primebook,Thin & Light,17490,30.01,24990,4.1,873,MediaTek MT8183,4,64,eMMC,Integrated,11.6,Not Specified,In Stock,No,Not Specified,Student / Everyday
ASUS Chromebook CX15 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1505CTA-S7025...,ASUS,Standard Notebook,28990,6.45,30990,4,38,Intel Celeron Dual Core,4,64,eMMC,Integrated,15.6,Not Specified,In Stock,No,Chrome OS,Student / Everyday
Lenovo LQQ Essential AMD Ryzen 7 Octa Core 7735HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NV...,Lenovo,Standard Notebook,118500,23.55,155000,4.3,2,AMD Ryzen 7 Octa Core,16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
Neopticon BrowseBook Intel Celeron Dual Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) BBN40425614 Lap...,Neopticon,Standard Notebook,24999,15.35,29533,3.6,29,Intel Celeron Dual Core,4,256,SSD,Integrated,14.1,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
ASUS Vivobook 15 (2026) Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) X1504VAP-IN009WS Thin a...,ASUS,Thin & Light,83990,47.5,159990,,,Intel Core 5,16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
HP MSO 2024 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU / 15 - fd066...,HP,Standard Notebook,50903,0,50903,4.2,244,Intel Core i3 Processor (13th Gen),16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
DELL 14 Microsoft Office Home 2024 Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5441 Thi...,Dell,Standard Notebook,64990,25.9,87704,4.2,13,Snapdragon X,16,512,SSD,Integrated,14,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
